type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,opinion
1,7.0,0.27,0.36,4.54972526643093,0.21213203435596426,3.8066624897703196,5.135798437050262,1.001,3.0,0.45,8.8,1
1,6.3,0.3,0.34,1.2649110640673518,0.22135943621178655,2.6390573296152584,4.882801922586371,0.994,3.3,0.49,9.5,1
1,8.1,0.28,0.4,2.6267851073127395,0.22360679774997896,3.4011973816621555,4.574710978503383,0.9951,3.26,0.44,10.1,1
1,7.2,0.23,0.32,2.9154759474226504,0.24083189157584592,3.8501476017100584,5.225746673713202,0.9956,3.19,0.4,9.9,1
1,7.2,0.23,0.32,2.9154759474226504,0.24083189157584592,3.8501476017100584,5.225746673713202,0.9956,3.19,0.4,9.9,1
1,8.1,0.28,0.4,2.6267851073127395,0.22360679774997896,3.4011973816621555,4.574710978503383,0.9951,3.26,0.44,10.1,1
1,6.2,0.32,0.16,2.6457513110645907,0.21213203435596426,3.4011973816621555,4.912654885736052,0.9949,3.18,0.47,9.6,1
1,7.0,0.27,0.36,4.54972526643093,0.21213203435596426,3.8066624897703196,5.135798437050262,1.001,3.0,0.45,8.8,1
1,6.3,0.3,0.34,1.2649110640673518,0.22135943621178655,2.6390573296152584,4.882801922586371,0.994,3.3,0.49,9.5,1
1,8.1,0.22,0.43,1.224744871391589,0.20976176963403032,3.332204510175204,4.859812404361672,0.9938,3.22,0.45,11.0,1
1,8.1,0.27,0.41,1.2041594578792296,0.1816590212458495,2.3978952727983707,4.143134726391533,0.9908,2.99,0.56,12.0,0
1,8.6,0.23,0.4,2.04939015319192,0.18708286933869708,2.833213344056216,4.6913478822291435,0.9947,3.14,0.53,9.7,0
1,7.9,0.18,0.37,1.0954451150103321,0.2,2.772588722239781,4.31748811353631,0.992,3.18,0.63,10.8,0
1,6.6,0.16,0.4,1.224744871391589,0.20976176963403032,3.871201010907891,4.962844630259907,0.9912,3.54,0.52,12.4,1
1,8.3,0.42,0.62,4.387482193696061,0.2,3.713572066704308,5.147494476813453,1.0002,2.98,0.67,9.7,0
1,6.6,0.17,0.38,1.224744871391589,0.17888543819998318,3.332204510175204,4.718498871295094,0.9914,3.25,0.55,11.4,1
1,6.3,0.48,0.04,1.0488088481701516,0.21447610589527216,3.4011973816621555,4.59511985013459,0.9928,3.24,0.36,9.6,1
1,7.2165793124710955,0.66,0.48,1.0954451150103321,0.17029386365926402,3.367295829986474,4.31748811353631,0.9892,3.33,0.39,12.8,1
